delay_ms,horizon_ms,cost_regime,observations,decision_rows_total,decision_rows_with_zero_or_missing_imbalance,observations_decision_state_valid,arrival_missing,future_missing,mean_gross_markout_bps,mean_markout_long_bps,mean_markout_short_bps,mean_cross_to_cross_bps,mean_known_cost_bps,mean_cost_adjusted_bps,median_cost_adjusted_bps,prob_adjusted_positive,representative_order_shares,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,label
0,1000,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.8547444974563354,-2.9121827544665773,-2.9128149262519583,-2.881671230072091,4.825469059730538,-7.680213557186872,-6.00164489790364,0.0031211077675028943,100.0,0.19862630757240055,-8.091929357846752,-7.306865701596606,IDEALIZED_REFERENCE_EXECUTION
0,1000,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.8547444974563354,-2.9121827544665773,-2.9128149262519583,-2.881671230072091,3.488810030556223,-6.343554528012557,-4.863631818325517,0.004073751373848754,100.0,0.14932645814556766,-6.647941917732073,-6.060299704229735,IDEALIZED_REFERENCE_EXECUTION
10,100,structural_floor,2458422,2691000,232578,2458422,0,0,-2.9026158771106654,-2.9117151018037624,-2.911782151240708,-2.906660160475724,1.7006890266851753,-4.603304903795841,-3.3536507433787897,0.0010043027600631625,100.0,0.10178651120106498,-4.807989323950841,-4.4045528926950555,IDEALIZED_REFERENCE_EXECUTION
10,100,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.9026158771106654,-2.9117151018037624,-2.911782151240708,-2.906660160475724,4.825469012704359,-7.728084889815025,-6.015193936961807,0.0003311067017786206,100.0,0.2018363945222335,-8.135040974559239,-7.3560134667739,IDEALIZED_REFERENCE_EXECUTION
10,100,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.9026158771106654,-2.9117151018037624,-2.911782151240708,-2.906660160475724,3.4888099985638905,-6.391425875674556,-4.972655986737496,0.0004372723641425272,100.0,0.1514330864088357,-6.696386370864039,-6.10446333003521,IDEALIZED_REFERENCE_EXECUTION
10,250,structural_floor,2458422,2691000,232578,2458422,0,0,-2.8919849764900394,-2.9106161568170905,-2.9128810962273803,-2.9014943918053713,1.7006890266851753,-4.5926740031752145,-3.3501786365385122,0.0023645248862888472,100.0,0.10455486505263328,-4.803203135515401,-4.38804796819325,IDEALIZED_REFERENCE_EXECUTION
10,250,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.8919849764900394,-2.9106161568170905,-2.9128810962273803,-2.9014943918053713,4.825469012704359,-7.717453989194398,-6.012872002710256,0.0007911579053555492,100.0,0.20641431019749049,-8.139418386521017,-7.336607458044979,IDEALIZED_REFERENCE_EXECUTION
10,250,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.8919849764900394,-2.9106161568170905,-2.9128810962273803,-2.9014943918053713,3.4888099985638905,-6.380794975053931,-4.947154972078616,0.0010527077938612655,100.0,0.15541580487537857,-6.695567473110802,-6.093167936134674,IDEALIZED_REFERENCE_EXECUTION
10,500,structural_floor,2458422,2691000,232578,2458422,0,0,-2.878609786487337,-2.911161434606277,-2.912335818438194,-2.894327284390497,1.7006890266851753,-4.579298813172513,-3.3469301454224487,0.004508176383061981,100.0,0.10364579727386364,-4.7933251153254135,-4.389305532718359,IDEALIZED_REFERENCE_EXECUTION
10,500,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.878609786487337,-2.911161434606277,-2.912335818438194,-2.894327284390497,4.825469012704359,-7.704078799191698,-6.0096599746015436,0.0015339107769129954,100.0,0.20711786010153316,-8.127617795214725,-7.327284959388379,IDEALIZED_REFERENCE_EXECUTION
