trading_day,unit,symbol,horizon_ms,bin_index,bin,observations,mean_bps,prob_positive,cells_with_data,note
2019-07-30,SYMBOL,OKTA,100,0,"[-1.0,-0.8)",4003,-0.02075502939025313,0.010741943542343242,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,OLED,100,0,"[-1.0,-0.8)",4945,0.0024612128975658974,0.006673407482305359,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ORLY,100,0,"[-1.0,-0.8)",3242,-0.0039697383644770575,0.004935225169648365,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,OSTK,100,0,"[-1.0,-0.8)",1158,-0.05921461853956311,0.013816925734024179,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,PAYX,100,0,"[-1.0,-0.8)",495,-0.030345334910383128,0.00202020202020202,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,PEP,100,0,"[-1.0,-0.8)",782,-0.026345492476392587,0.0076726342710997444,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,PYPL,100,0,"[-1.0,-0.8)",623,-0.012919851233450215,0.028892455858747994,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,QCOM,100,0,"[-1.0,-0.8)",171,-0.08986910672215691,0.0,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,REGN,100,0,"[-1.0,-0.8)",4888,0.0023655643390945833,0.010842880523731587,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ROKU,100,0,"[-1.0,-0.8)",4314,-0.019181670699619176,0.013444598980064905,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ROST,100,0,"[-1.0,-0.8)",2379,-0.012283205109115607,0.009667927700714587,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,SBAC,100,0,"[-1.0,-0.8)",1096,-0.0839498383366931,0.012773722627737226,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,SBUX,100,0,"[-1.0,-0.8)",383,-0.013462659739949995,0.010443864229765013,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,SIRI,100,0,"[-1.0,-0.8)",158,0.0,0.0,4,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,SNPS,100,0,"[-1.0,-0.8)",3359,-0.008562166444529165,0.01012206013694552,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,SPLK,100,0,"[-1.0,-0.8)",2239,-0.004111493709312054,0.012952210808396605,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,SSNC,100,0,"[-1.0,-0.8)",728,-0.028479836144290123,0.024725274725274724,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,STNE,100,0,"[-1.0,-0.8)",1178,-0.04828196460403287,0.003395585738539898,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,SWKS,100,0,"[-1.0,-0.8)",2027,-0.018647347228187144,0.006413418845584608,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TER,100,0,"[-1.0,-0.8)",331,-0.04777981147305123,0.006042296072507553,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TMUS,100,0,"[-1.0,-0.8)",661,-0.012974998233177657,0.012102874432677761,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TROW,100,0,"[-1.0,-0.8)",2478,-0.009344181507416942,0.007667473769168685,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TSLA,100,0,"[-1.0,-0.8)",1895,0.003053727400019804,0.03535620052770449,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TTD,100,0,"[-1.0,-0.8)",5997,0.021532390365426455,0.028180757045189263,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TTWO,100,0,"[-1.0,-0.8)",1258,-0.04718606545928931,0.006359300476947536,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TXN,100,0,"[-1.0,-0.8)",1846,-0.012265459461821766,0.016793066088840736,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,TXRH,100,0,"[-1.0,-0.8)",732,-0.07606912514225381,0.012295081967213115,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,UAL,100,0,"[-1.0,-0.8)",838,-0.003788821168048285,0.015513126491646777,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ULTA,100,0,"[-1.0,-0.8)",4078,-0.0017096743594202824,0.01152525747915645,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,VRNS,100,0,"[-1.0,-0.8)",2621,-0.062015607333374315,0.011064479206409768,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,VRSK,100,0,"[-1.0,-0.8)",4063,-0.005246836689344158,0.009598818606940684,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,VRTX,100,0,"[-1.0,-0.8)",1808,-0.016959379929884347,0.007190265486725664,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,WBA,100,0,"[-1.0,-0.8)",788,-0.04474293883076779,0.0025380710659898475,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,WDAY,100,0,"[-1.0,-0.8)",4278,-0.020293375058339096,0.013557737260402058,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,WDC,100,0,"[-1.0,-0.8)",616,-0.05500890469396269,0.008116883116883116,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,WYNN,100,0,"[-1.0,-0.8)",1943,-0.012111256632434297,0.007205352547606794,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,XEL,100,0,"[-1.0,-0.8)",732,-0.041622110891863295,0.0,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,XLNX,100,0,"[-1.0,-0.8)",2205,-0.005314126239071628,0.012244897959183673,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ZBRA,100,0,"[-1.0,-0.8)",3148,-0.016358483298723095,0.007306226175349428,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ZM,100,0,"[-1.0,-0.8)",5037,-0.007048004436095319,0.007941234862021045,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AABA,100,1,"[-0.8,-0.6)",1689,-0.018414316126550704,0.003552397868561279,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AAL,100,1,"[-0.8,-0.6)",1336,-0.0599941769224441,0.0007485029940119761,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AAPL,100,1,"[-0.8,-0.6)",2103,-0.0202853523063705,0.038991916310033285,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ABMD,100,1,"[-0.8,-0.6)",1060,-0.0035723586689751104,0.009433962264150943,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADBE,100,1,"[-0.8,-0.6)",1051,-0.0012622779460320804,0.02093244529019981,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADI,100,1,"[-0.8,-0.6)",823,-0.03171292533996183,0.026731470230862697,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADP,100,1,"[-0.8,-0.6)",651,-0.016240455587888093,0.006144393241167435,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADSK,100,1,"[-0.8,-0.6)",972,0.009903478340356929,0.0205761316872428,13,recomputed from symbol x 30-minute cell means and counts
