horizon_ms,bin_index,bin,bin_midpoint,observations,observations_total_at_horizon,coverage_fraction,mean_bps,median_bps,std_bps,prob_positive,prob_negative,prob_zero,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,symbol_dispersion_std_bps,day_dispersion_std_bps,symbols_with_observations
250,4,"[-0.2,0.0)",-0.1,286277,2691000,0.10638312894834634,-0.005037898977671485,0.0,0.6292890835672592,0.024895468375035368,0.029429538523877224,0.9456749931010874,0.0011665581148709635,-0.0073449665428670504,-0.0027339070196851986,0.016982877811867844,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,5,"[0.0,0.2)",0.1,502827,2691000,0.18685507246376812,0.006017258191045931,0.0,0.8373757009624951,0.03682180948914836,0.03297953371636766,0.930198656794484,0.0012925622423857086,0.0034082554628075508,0.008493621721669635,0.01258360322787222,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,6,"[0.2,0.4)",0.30000000000000004,349323,2691000,0.12981159420289856,0.01631717835823184,0.0,0.7964877723510886,0.03717762643742324,0.024719242649353178,0.9381031309132236,0.0013693627287227842,0.013619847165887189,0.01912554226374976,0.016324735960961567,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,7,"[0.4,0.6)",0.5,217698,2691000,0.08089855072463768,0.02936317359531156,0.0,0.8223756508031588,0.040919071374105415,0.02131393030712271,0.9377669983187719,0.0018864006682767559,0.025546271368052268,0.03291819675286845,0.027228436512976562,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,8,"[0.6,0.8)",0.7,167147,2691000,0.062113340765514675,0.03738610594020922,0.0,0.8873034869986915,0.048729561404033575,0.0229737895385499,0.9282966490574165,0.0023273678656590426,0.03282867222918404,0.04213859891077269,0.036031161766124344,UNKNOWN_SINGLE_SAMPLE_DAY,115
250,9,"[0.8,1.0]",0.9,227351,2691000,0.08448569305091044,0.0313309536943304,0.0,0.8004131293465613,0.047015407893521474,0.024561141142990354,0.9284234509634882,0.0020879585554582484,0.027409584736089006,0.03560063405539264,0.052243787213171515,UNKNOWN_SINGLE_SAMPLE_DAY,115
500,0,"[-1.0,-0.8)",-0.9,237981,2691000,0.08843589743589744,-0.04645687480613786,0.0,1.0789618282781295,0.0424781810312588,0.07352687819615851,0.8839949407725827,0.0027358189483274384,-0.0521490550683649,-0.041407875065907346,0.09358114270716453,UNKNOWN_SINGLE_SAMPLE_DAY,115
500,1,"[-0.8,-0.6)",-0.7,150157,2691000,0.05579970271274619,-0.060322458955783066,0.0,1.1521672363959277,0.038826028756568126,0.07520794901336601,0.8859660222300658,0.0040623386194058,-0.06867332610771248,-0.05258925773604435,0.06181023859395197,UNKNOWN_SINGLE_SAMPLE_DAY,115
500,2,"[-0.6,-0.4)",-0.5,235402,2691000,0.08747751765143069,-0.04952759117898424,0.0,1.0808744141513298,0.03770146387881156,0.06785838692959278,0.8944401491915956,0.0025018040253000596,-0.05492561525708319,-0.04475003069503091,0.039532458586655515,UNKNOWN_SINGLE_SAMPLE_DAY,115
500,3,"[-0.4,-0.2)",-0.30000000000000004,316837,2691000,0.11773950204384986,-0.022503049917489203,0.0,1.030439271134116,0.04135564975050263,0.059721560297566256,0.8989227899519311,0.0018144823071223606,-0.026043894473739802,-0.019021748396694797,0.023760054668912987,UNKNOWN_SINGLE_SAMPLE_DAY,115
