locate,symbol,rank,add_count,first_add_price_usd,market_category,issue_classification,scope
7498,STNE,92,39359,37.49,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7,AAL,93,145185,30.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
250,AKAM,94,76495,96.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
379,AMTD,95,97223,53.99,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8822,ZM,96,30162,92.2,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4144,INCY,97,39149,77.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5371,MXIM,98,71066,110.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1774,CTAS,99,32614,140.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1327,CERN,100,66069,56.94,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8470,WBA,101,129446,50.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7992,TXRH,102,46332,75.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8393,VRSK,103,20367,140.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5913,OSTK,104,53510,13.17,G,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4777,LGND,105,22448,122.0,G,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4931,LYFT,106,38582,79.29,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7895,TROW,107,59716,78.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4,AABA,108,116432,58.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
33,ABMD,109,24509,1.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7557,SWKS,110,62665,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
936,BLUE,111,21151,155.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7289,SNPS,112,53390,134.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5828,OLED,113,22689,146.57,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6789,ROST,114,96854,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
