horizon_ms,bin_index,bin,bin_midpoint,observations,observations_total_at_horizon,coverage_fraction,mean_bps,median_bps,std_bps,prob_positive,prob_negative,prob_zero,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,symbol_dispersion_std_bps,day_dispersion_std_bps,symbols_with_observations
250,0,"[-1.0,-0.8)",-0.9,790099,14273878,0.05535279200228557,-0.04463760270210208,0.0,1.317417857512146,0.035386704704094045,0.0665600133654137,0.8980532819304923,0.0033165539322441,-0.05131106272470613,-0.03816079544332711,0.11886644971644379,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,1,"[-0.8,-0.6)",-0.7,832548,14273878,0.058326685992412156,-0.056063649504408695,0.0,0.7388444021478302,0.020564580060248777,0.052442621926903916,0.9269927980128473,0.0023109488210089884,-0.06069941639663892,-0.05170873952205249,0.0635045779349593,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,2,"[-0.6,-0.4)",-0.5,1377617,14273878,0.09651315500945153,-0.038521367267807985,0.0,0.7764528831752231,0.019671650393396713,0.04230058136622879,0.9380277682403745,0.0015287099467275168,-0.041558801434272805,-0.035603723023643744,0.025177023679773213,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,3,"[-0.4,-0.2)",-0.30000000000000004,1764574,14273878,0.12362260627420243,-0.01981579294745386,0.0,0.5874978736636741,0.022897877901408497,0.03605856144315852,0.9410435606554329,0.0008460586174270344,-0.021521737185941057,-0.01820444015664838,0.008591349284231841,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,4,"[-0.2,0.0)",-0.1,1731699,14273878,0.12131944801545873,-0.006740578381650542,0.0,0.5224682490636686,0.022468685377770616,0.027444723361276988,0.9500865912609524,0.0006560255305750612,-0.00800002547859989,-0.005486481803383465,0.007942504744344039,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,5,"[0.0,0.2)",0.1,2539919,14273878,0.1779417618673776,0.004469127580436662,0.0,0.601808075440191,0.03592752367299902,0.03243686117549418,0.9316356151515068,0.0006227562897035356,0.0032516759534999547,0.005658998620681312,0.008317456320658325,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,6,"[0.2,0.4)",0.30000000000000004,2027336,14273878,0.1420311985292294,0.01833678990369649,0.0,0.5670775743822563,0.0358273122955445,0.022566066996294643,0.9416066207081608,0.0007913359890292055,0.016785947121661628,0.019887839495138115,0.011580086869471528,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,7,"[0.4,0.6)",0.5,1376238,14273878,0.0964165449641646,0.033483859939020665,0.0,0.6103175858570428,0.0390455720594839,0.01818798783349973,0.9427664401070164,0.0013791747088419564,0.03085275805728448,0.03627976508999044,0.02659013322723709,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,8,"[0.6,0.8)",0.7,982550,14273878,0.06883553299250561,0.05648329778607725,0.0,0.7513103270726363,0.052595796651569895,0.01991857920716503,0.9274856241412651,0.0024326897032067242,0.05189987942099545,0.061549918003987694,0.06022990840900787,UNKNOWN_SINGLE_SAMPLE_DAY,61
250,9,"[0.8,1.0]",0.9,851298,14273878,0.05964027435291236,0.052686864204391594,0.0,0.7881812642483483,0.06739708069324725,0.03274059142626906,0.8998623278804837,0.0034739622139438185,0.046141016222768644,0.05985379615276637,0.11941727251126277,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,0,"[-1.0,-0.8)",-0.9,790077,14273756,0.05535172382097606,-0.07790360064218738,0.0,1.734658726599963,0.06144084690479536,0.11206755797219764,0.826491595123007,0.005695476374603197,-0.08939710762867857,-0.06657883599396104,0.20020538812725241,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,1,"[-0.8,-0.6)",-0.7,832540,14273756,0.05832662405046016,-0.09871730907519091,0.0,1.0150436428392604,0.03599827035337642,0.08886419871717875,0.8751375309294448,0.004080259809504072,-0.10640319958529681,-0.0909446069091322,0.11589337155008435,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,2,"[-0.6,-0.4)",-0.5,1377608,14273756,0.09651334939451116,-0.06992689890220627,0.0,1.146843808440606,0.034899623114848344,0.07265346891133036,0.8924469079738213,0.002897430187777938,-0.07585076690550378,-0.06420290121876614,0.04642073683662292,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,3,"[-0.4,-0.2)",-0.30000000000000004,1764565,14273756,0.12362303236793455,-0.03483084308080858,0.0,0.8229272943420045,0.0405544709319294,0.06224366911958471,0.8972018599484859,0.001513070096741447,-0.037903678435389984,-0.03191702000433071,0.016460839753482958,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,4,"[-0.2,0.0)",-0.1,1731692,14273756,0.1213199945410304,-0.01206544427578325,0.0,0.7309632279827092,0.03994243780071745,0.048095735269320414,0.9119618269299622,0.00115661824944727,-0.014291368385069465,-0.009801105012200854,0.013853499069100342,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,5,"[0.0,0.2)",0.1,2539907,14273756,0.17794244205939908,0.008435223544763473,0.0,0.8356516845718631,0.06218731630725062,0.05586858101497417,0.8819441026777752,0.0011545376871675203,0.006273716890064324,0.010694428772338753,0.01617926193956765,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,6,"[0.2,0.4)",0.30000000000000004,2027325,14273756,0.1420316418467571,0.03388698163850167,0.0,0.7949481986964169,0.062214987730137006,0.03964781177166957,0.8981372004981935,0.00152258874095544,0.03098823266213151,0.03696783988174534,0.023580969981081928,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,7,"[0.4,0.6)",0.5,1376223,14273756,0.0964163181716151,0.06008228232781543,0.0,0.8518753620797694,0.06787708096725603,0.03226148669220032,0.8998614323405436,0.002426552474744806,0.055394387645832634,0.06502504410319039,0.04758093933851863,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,8,"[0.6,0.8)",0.7,982539,14273756,0.06883535069536008,0.09933458897356609,0.0,1.0382598883420184,0.08948550642773467,0.03468361052334818,0.8758308830489171,0.004099670679834298,0.09142616395631327,0.10762203733114567,0.10375682614907837,UNKNOWN_SINGLE_SAMPLE_DAY,61
500,9,"[0.8,1.0]",0.9,851280,14273756,0.059639523051956335,0.09104449038872148,0.0,1.065804387224287,0.11375928014284371,0.056604172540174795,0.8296365473169814,0.005966573294881428,0.07998069369812022,0.10340692316492184,0.2081759002122805,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,0,"[-1.0,-0.8)",-0.9,790044,14273451,0.055350594610931864,-0.12803957536582625,0.0,2.336147637750102,0.10151839644374237,0.17671547407486166,0.721766129481396,0.009345934661320113,-0.14716029513089127,-0.11045542792372882,0.3012459544224836,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,1,"[-0.8,-0.6)",-0.7,832513,14273451,0.058325978769955496,-0.1672742935399352,0.0,1.4417516180340932,0.06065010396234053,0.14217075288914408,0.7971791431485153,0.007065120878635993,-0.18228788545800395,-0.15464026519892343,0.20087323656056935,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,2,"[-0.6,-0.4)",-0.5,1377579,14273451,0.0965133799807769,-0.11716048023933394,0.0,1.4512676302448297,0.05975773440216496,0.11816382218370053,0.8220784434141345,0.004680408745732403,-0.12673038934362313,-0.10838818413435294,0.08287015262579933,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,3,"[-0.4,-0.2)",-0.30000000000000004,1764538,14273451,0.12362378236349429,-0.05927894825826495,0.0,1.1666023543028605,0.06916087950500358,0.10246478114951335,0.8283743393454831,0.0027847002564353527,-0.06487205222298094,-0.053952795407021796,0.031275526719176314,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,4,"[-0.2,0.0)",-0.1,1731676,14273451,0.1213214659860464,-0.020478924620954568,0.0,1.0550390467942603,0.06827027688782428,0.08070562853559211,0.8510240945765836,0.002342037800209347,-0.025105528826948085,-0.015970397454063867,0.025177555963305422,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,5,"[0.0,0.2)",0.1,2539873,14273451,0.1779438623497569,0.01507536233026697,0.0,1.1717122784943805,0.10167713110064952,0.09148292060272305,0.8068399482966274,0.002048716882514307,0.011124079770044842,0.019170545999632766,0.027857870336064315,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,6,"[0.2,0.4)",0.30000000000000004,2027301,14273451,0.14203299538422767,0.059500873715763965,0.0,1.141192253951429,0.1025333682566131,0.06723372602292407,0.8302329057204628,0.0030056745722343106,0.053479450665961076,0.06542061634443141,0.04906723419698396,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,7,"[0.4,0.6)",0.5,1376188,14273451,0.096415926323634,0.10566846985777908,0.0,1.2045011215839252,0.11207843695774124,0.055134182248355604,0.8327873807939031,0.0042917803657284,0.09791113993879128,0.11433827723891922,0.08921202697332054,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,8,"[0.6,0.8)",0.7,982485,14273451,0.0688330383451066,0.1664167783968034,0.0,1.4586940391790475,0.14388311271927814,0.058202415304050445,0.7979144719766714,0.0068742839155964035,0.1534489172499443,0.1803011655085631,0.17229135005302776,UNKNOWN_SINGLE_SAMPLE_DAY,61
1000,9,"[0.8,1.0]",0.9,851254,14273451,0.05963897588606988,0.14823999884071573,0.0,1.4629095270163248,0.18054423239127218,0.09286769871272264,0.7265880688960051,0.009526251667283263,0.13031847388803103,0.1677398174605943,0.36279296410663686,UNKNOWN_SINGLE_SAMPLE_DAY,61
