date,scope,symbol,locate,messages,duplicate_check_applied,duplicates_adjacent,duplicates_within_bucket,timestamp_reversals,max_reversal_ns,identical_timestamp_messages,messages_late_after_decision,exact_duplicates_within_bucket_full_tape,tuple_key_repeats_adjacent,receive_clock_present,sequence_number_present,channel_field_present
2019-07-30,DEV_SCOPE,GRMN,3499,107422,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3338,0,,,false,false,false
2019-07-30,DEV_SCOPE,AMAT,325,433441,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,7880,0,,,false,false,false
2019-07-30,DEV_SCOPE,EBAY,2277,376933,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,6125,0,,,false,false,false
2019-07-30,DEV_SCOPE,OKTA,5825,95374,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3214,0,,,false,false,false
2019-07-30,DEV_SCOPE,WYNN,8649,97562,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2954,0,,,false,false,false
2019-07-30,DEV_SCOPE,REGN,6631,79918,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1883,0,,,false,false,false
2019-07-30,DEV_SCOPE,DLTR,2084,219687,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2943,0,,,false,false,false
2019-07-30,DEV_SCOPE,ATVI,604,356032,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,7180,0,,,false,false,false
2019-07-30,DEV_SCOPE,ADSK,111,180389,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2049,0,,,false,false,false
2019-07-30,DEV_SCOPE,CTSH,1799,218898,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,4233,0,,,false,false,false
2019-07-30,DEV_SCOPE,LULU,4910,119148,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2228,0,,,false,false,false
2019-07-30,DEV_SCOPE,MDB,5007,78677,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2670,0,,,false,false,false
2019-07-30,DEV_SCOPE,VRNS,8388,78297,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2127,0,,,false,false,false
2019-07-30,DEV_SCOPE,TER,7701,259392,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3879,0,,,false,false,false
