locate,symbol,market_category,issue_classification,dollar_volume_usd,shares_traded,trade_count,cross_messages,median_trade_price_usd,price_ok,median_dollar_volume,liquidity_rank_all_eligible,liquidity_rank,in_liquidity_decile,reason_code,proxy_status,reporting_only
1320,CENTA,Q,C,2528937.555,91632,1362,2,27.72,True,2528937.555,640,638,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1321,CENX,Q,C,1833191.86,252225,1769,2,7.29,True,1833191.86,739,737,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1326,CERC,S,C,53678.335,12765,204,2,4.21,True,53678.335,1671,1644,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1327,CERN,Q,C,38551870.285,524027,6935,2,73.59,True,38551870.285,102,102,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1328,CERS,G,C,2304537.715,382951,2294,2,6.035,True,2304537.715,665,663,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1330,CETV,Q,C,396494.145,85609,625,2,4.64,True,396494.145,1172,1167,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1331,CETX,S,C,44905.29,25193,162,2,1.75,True,44905.29,1718,1689,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1335,CEVA,Q,C,648885.14,23194,488,2,27.97,True,648885.14,1040,1037,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1341,CFBI,S,C,140.26,14,2,2,10.01,True,140.26,2306,2171,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1342,CFBK,S,C,35806.12,2948,25,2,12.15,True,35806.12,1781,1749,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1343,CFFA,S,C,3146.85,314,7,2,10.05,True,3146.85,2178,2072,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1346,CFFI,Q,C,87975.28,1601,16,2,54.99,True,87975.28,1550,1534,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1347,CFFN,Q,C,1575545.78,113830,1135,2,13.77,True,1575545.78,776,774,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1350,CFMS,Q,C,701839.695,245886,1710,2,2.9,True,701839.695,1009,1006,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1354,CFRX,S,C,7830.7066,16700,67,2,0.4716,False,7830.7066,2081,,False,PRICE_BELOW_1_USD,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1359,CGBD,Q,C,980354.275,64357,656,2,15.24,True,980354.275,919,916,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1362,CGIX,S,C,32706.2863,237073,328,2,0.138,False,32706.2863,1812,,False,PRICE_BELOW_1_USD,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1363,CGNX,Q,C,65963096.585,1460874,15731,2,45.35,True,65963096.585,57,57,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1364,CGO,Q,C,15510.735,1195,13,2,12.97,True,15510.735,1971,1905,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1373,CHCI,S,C,4090.315,1835,17,2,2.22,True,4090.315,2154,2051,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1374,CHCO,Q,C,2193245.315,28596,469,2,76.85,True,2193245.315,685,683,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1377,CHDN,Q,C,9725218.355,79499,1900,2,122.53,True,9725218.355,294,294,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1379,CHEF,Q,C,2672245.23,74052,1161,2,36.13,True,2672245.23,624,623,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1384,CHFC,Q,C,10078167.115,234655,3536,2,43.05,True,10078167.115,287,287,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1385,CHFS,S,C,22381.97,7991,83,2,2.83,True,22381.97,1899,1846,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1389,CHI,Q,C,127890.07,11819,79,2,10.82,True,127890.07,1456,1445,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1407,CHMA,Q,C,1156334.79,210413,1110,2,5.5,True,1156334.79,873,870,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1408,CHMG,Q,C,49651.9,1126,24,2,44.25,True,49651.9,1694,1666,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1414,CHNG,Q,C,3022764.815,213702,2647,2,14.14,True,3022764.815,590,589,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1416,CHNR,S,C,2598.5,1740,11,2,1.49,True,2598.5,2198,2088,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1418,CHRS,G,C,2493449.895,149915,2179,2,16.63,True,2493449.895,645,643,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1419,CHRW,Q,C,36931088.32,433369,6425,2,85.23,True,36931088.32,106,106,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1428,CHTR,Q,C,147425297.985,372193,8048,2,396.68,True,147425297.985,19,19,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1430,CHUY,Q,C,833652.09,34759,675,2,24.1,True,833652.09,959,956,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1431,CHW,Q,C,61964.37,7651,76,2,8.1,True,61964.37,1645,1621,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1433,CHY,Q,C,66578.12,5785,28,2,11.51,True,66578.12,1629,1606,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1442,CIDM,G,C,763.75,665,18,2,1.14,True,763.75,2269,2140,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1448,CIGI,Q,C,2822104.0,39164,690,2,72.0,True,2822104.0,609,608,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1458,CINF,Q,C,24947678.49,235340,4673,2,106.03,True,24947678.49,149,149,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1465,CIVB,S,C,367661.55,16715,261,2,22.0,True,367661.55,1191,1186,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1469,CIZN,G,C,18935.27,884,11,2,21.45,True,18935.27,1936,1877,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1471,CJJD,S,C,96127.03,88350,213,2,1.09,True,96127.03,1533,1520,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1474,CKPT,S,C,36786.47,13409,132,2,2.75,True,36786.47,1774,1742,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1477,CLAR,Q,C,605437.605,41962,415,2,14.43,True,605437.605,1056,1052,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1479,CLBK,Q,C,856420.75,55036,457,2,15.56,True,856420.75,952,949,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1480,CLBS,S,C,3866.075,1338,40,2,2.89,True,3866.075,2161,2057,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1481,CLCT,G,C,667819.015,28640,352,2,23.34,True,667819.015,1031,1028,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1482,CLDB,S,C,11144.2,482,4,2,23.1,True,11144.2,2033,1954,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
